,State,Site Name,City,Zip,County,Latitude,Longitude,State Name,zip,population,Year
99,NJ,A. O. Polymer,Sparta Township,07871,SUSSEX,41.04805,-74.63,New Jersey,07871,21167.0,1983
100,NJ,American Cyanamid Co,Bridgewater,08805,SOMERSET,40.555561,-74.55945,New Jersey,08805,14153.0,1983
101,NJ,Atlantic Resources,Sayreville,08872,MIDDLESEX,40.486111,-74.319444,New Jersey,08872,20040.0,2002
102,NJ,Bog Creek Farm,Howell Township,07727,MONMOUTH,40.150831,-74.161111,New Jersey,07727,7135.0,1983
103,NJ,Brick Township Landfill,Brick Township,08723,OCEAN,40.1098,-74.1311,New Jersey,08723,32033.0,1983
104,NJ,Bridgeport Rental & Oil Services,Bridgeport,08014,GLOUCESTER,39.801669,-75.321661,New Jersey,08014,283.0,1983
105,NJ,Brook Industrial Park,Bound Brook,08805,SOMERSET,40.560139,-74.536111,New Jersey,08805,14153.0,1989
106,NJ,Burnt Fly Bog,Marlboro Township,07746,MONMOUTH,40.375,-74.279169,New Jersey,07746,18137.0,1983
107,NJ,Caldwell Trucking Co.,Fairfield,07004,ESSEX,40.876389,-74.271389,New Jersey,07004,7712.0,1983
108,NJ,Chemical Control,Elizabeth,07202,UNION,40.6432,-74.1935,New Jersey,07202,44638.0,1983
109,NJ,Chemical Insecticide Corp.,Edison Township,08817,MIDDLESEX,40.5274,-74.368,New Jersey,08817,47924.0,1990
110,NJ,"Chemical Leaman Tank Lines, Inc.",Bridgeport,08014,GLOUCESTER,39.798331,-75.332781,New Jersey,08014,283.0,1984
111,NJ,"Chemsol, Inc.",Piscataway,08854,MIDDLESEX,40.5625,-74.443339,New Jersey,08854,60405.0,1983
112,NJ,Ciba-Geigy Corp.,Toms River,08753,OCEAN,39.9867,-74.2363,New Jersey,08753,64788.0,1983
113,NJ,Cinnaminson Township (Block 702) Ground Water Contamination,Cinnaminson Township,08077,BURLINGTON,40.0175,-74.9862,New Jersey,08077,20677.0,1986
114,NJ,Combe Fill South Landfill,Chester Township,07930,MORRIS,40.771669,-74.738331,New Jersey,07930,8205.0,1983
115,NJ,Cornell Dubilier Electronics Inc.,South Plainfield,07080,MIDDLESEX,40.576389,-74.414167,New Jersey,07080,24215.0,1998
116,NJ,Cosden Chemical Coatings Corp.,Beverly,08010,BURLINGTON,40.058183,-74.925899,New Jersey,08010,11506.0,1987
117,NJ,Cps/Madison Industries,Old Bridge Township,08857,MIDDLESEX,40.434439,-74.327769,New Jersey,08857,40409.0,1983
118,NJ,"Curcio Scrap Metal, Inc.",Saddle Brook Twp,07662,BERGEN,40.8907,-74.1035,New Jersey,07662,5820.0,1987
119,NJ,"Curtis Specialty Papers, Inc",Milford,08848,HUNTERDON,40.561758,-75.089842,New Jersey,08848,8376.0,2009
120,NJ,D'Imperio Property,Hamilton Township,08330,ATLANTIC,39.454439,-74.658889,New Jersey,08330,30009.0,1983
121,NJ,Dayco Corp./L.E Carpenter Co.,Wharton Borough,07885,MORRIS,40.903331,-74.5775,New Jersey,07885,11864.0,1987
122,NJ,De Rewal Chemical Co.,Kingwood Township,08825,HUNTERDON,40.5162,-75.0614,New Jersey,08825,4639.0,1984
123,NJ,Diamond Alkali Co.,Newark,07105,ESSEX,40.739719,-74.136111,New Jersey,07105,56657.0,1984
124,NJ,Diamond Head Oil Refinery Div.,Kearny,07032,HUDSON,40.749783,-74.133092,New Jersey,07032,40570.0,2002
125,NJ,Dover Municipal Well 4,Dover,07801,MORRIS,40.8858,-74.5423,New Jersey,07801,26725.0,1983
126,NJ,Ellis Property,Evesham Township,08053,BURLINGTON,39.905,-74.864719,New Jersey,08053,47612.0,1983
127,NJ,Emmell'S Septic Landfill,Galloway Township,08215,ATLANTIC,39.500694,-74.543611,New Jersey,08215,13921.0,1999
128,NJ,Evor Phillips Leasing,Old Bridge Township,08857,MIDDLESEX,40.4375,-74.325,New Jersey,08857,40409.0,1983
129,NJ,Ewan Property,Shamong Township,08088,BURLINGTON,39.802781,-74.719439,New Jersey,08088,24153.0,1984
