Region,State,Site Name,Site ID,,EPA ID,Address,City,Zip,County,FF Ind,NAI,Native American Entity,,Latitude,Longitude,NPL Status
,,,,,,,,,,,,(NAI Status),,,,Date
1,CT,BARKHAMSTED-NEW HARTFORD LANDFILL,100255,,CTD980732333,ROUTE 44,BARKHAMSTED,6063,LITCHFIELD,N,N,,,41.893947,-72.989337,10/04/89
1,CT,BEACON HEIGHTS LANDFILL,100180,,CTD072122062,BLACKBERRY HILL ROAD,BEACON FALLS,6403,NEW HAVEN,N,N,,,41.43195,-73.035281,09/08/83
1,CT,DURHAM MEADOWS,100108,,CTD001452093,MAIN ST,DURHAM,6422,MIDDLESEX,N,N,,,41.48111,-72.681388,10/04/89
1,CT,GALLUP'S QUARRY,100201,,CTD108960972,ROUTE 12,PLAINFIELD,6374,WINDHAM,N,N,,,41.665281,-71.924161,10/04/89
1,CT,KELLOGG-DEERING WELL FIELD,100252,,CTD980670814,NORWALK WATER DEPARTMENT,NORWALK,6856,FAIRFIELD,N,N,,,41.13055,-73.43195,09/21/84
1,CT,"LAUREL PARK, INC.",100232,,CTD980521165,HUNTERS MTN RD,NAUGATUCK BOROUGH,6770,NEW HAVEN,N,N,,,41.476939,-73.071661,09/08/83
1,CT,LINEMASTER SWITCH CORP.,100041,,CTD001153923,29 PLAINE HILL ROAD,WOODSTOCK,6281,WINDHAM,N,N,,,41.940561,-71.966939,02/21/90
1,CT,NEW LONDON SUBMARINE BASE,100261,,CTD980906515,ROUTE 12 CRYSTAL LAKE RD,NEW LONDON,6349,NEW LONDON,Y,N,,,41.400139,-72.087081,08/30/90
1,CT,PRECISION PLATING CORP.,100156,,CTD051316313,1050 HARTFORD TURNPIKE ROAD,VERNON,6066,TOLLAND,N,N,,,41.84975,-72.447911,10/04/89
1,CT,"RAYMARK INDUSTRIES, INC.",100094,,CTD001186618,75 EAST MAIN STREET,STRATFORD,6614,FAIRFIELD,N,N,,,41.201278,-73.117222,04/25/95
1,CT,SCOVILL INDUSTRIAL LANDFILL,102953,,CT0002265551,STORE AVENUE,WATERBURY,6705,NEW HAVEN,N,N,,,41.550389,-73.010639,07/27/00
1,CT,SOLVENTS RECOVERY SERVICE OF NEW ENGLAND,100124,,CTD009717604,LAZY LANE,SOUTHINGTON,6489,HARTFORD,N,N,,,41.6196,-72.878,09/08/83
1,CT,YAWORSKI WASTE LAGOON,100125,,CTD009774969,PACKER ROAD,CANTERBURY,6331,WINDHAM,N,N,,,41.66945,-71.964161,09/08/83
1,MA,ATLAS TACK CORP.,100376,,MAD001026319,PLEASANT ST,FAIRHAVEN,2719,BRISTOL,N,N,,,41.635561,-70.89445,02/21/90
1,MA,BAIRD & MCGUIRE,100392,,MAD001041987,775 SOUTH ST,HOLBROOK,2343,NORFOLK,N,N,,,42.149719,-71.028611,09/08/83
1,MA,BJAT LLC,106144,,MAN000106144,300 FISHER STREET,FRANKLIN,2038,NORFOLK,N,N,,,42.074417,-71.410806,09/30/15
1,MA,BLACKBURN & UNION PRIVILEGES,101713,,MAD982191363,SOUTH ST.,WALPOLE,2081,NORFOLK,N,N,,,42.138749,-71.251667,05/31/94
1,MA,CHARLES GEORGE RECLAMATION TRUST LANDFILL,100464,,MAD003809266,CORNER DUNSTABLE & CUMMINGS RD,TYNGSBOROUGH,1879,MIDDLESEX,N,N,,,42.66945,-71.443339,09/08/83
1,MA,CREESE & COOK TANNERY (FORMER),100380,,MAD001031574,55 CLINTON AVENUE,DANVERS,1923,ESSEX,N,Y,Mashpee Wampanoag Tribe (Current); Wampanoag Tribe of Gay Head (Aquinnah) (Current),,42.553111,-70.926722,05/24/13
1,MA,FORT DEVENS,100966,,MA7210025154,BUENA VISTA ST,FORT DEVENS,1433,MIDDLESEX,Y,N,,,42.536111,-71.596111,11/21/89
1,MA,GROVELAND WELLS,100750,,MAD980732317,JOHNSON CREEK WATERSHED,GROVELAND,1834,ESSEX,N,N,,,42.753331,-71.038889,09/08/83
1,MA,HANSCOM FIELD/HANSCOM AIR FORCE BASE,100967,,MA8570024424,HARTWELL AVENUE,BEDFORD,1730,MIDDLESEX,Y,N,,,42.470666,-71.289444,05/31/94
1,MA,HAVERHILL MUNICIPAL LANDFILL,100717,,MAD980523336,OLD GROVELAND RD,HAVERHILL,1830,ESSEX,N,N,,,42.753889,-71.046669,06/10/86
1,MA,HOCOMONCO POND,100751,,MAD980732341,FISHER ST,WESTBOROUGH,1581,WORCESTER,N,N,,,42.272781,-71.650831,09/08/83
1,MA,INDUSTRI-PLEX,100580,,MAD076580950,COMMERCE & ATLANTIC,WOBURN,1801,MIDDLESEX,N,N,,,42.516669,-71.141669,09/08/83
1,MA,IRON HORSE PARK,100524,,MAD051787323,HIGH ST,BILLERICA,1862,MIDDLESEX,N,N,,,42.583331,-71.265269,09/21/84
1,MA,LOWER NEPONSET RIVER,102204,,MAN000102204,From the confluence of Mother Brook to the Walter Baker Chocolate Dam,BOSTON/MILTON,2136,SUFFOLK,N,N,,,42.25229,-71.1232,03/16/22
1,MA,MICROFAB INC (FORMER),100442,,MAD001409408,106 HAVERHILL RD (RTE 110),AMESBURY,1913,ESSEX,N,N,,,42.842394,-70.959842,08/02/17
1,MA,"NATICK LABORATORY ARMY RESEARCH, DEVELOPMENT, AND ENGINEERING CENTER",101831,,MA1210020631,100 KANSAS STREET,NATICK,1760,MIDDLESEX,Y,N,,,42.288889,-71.363611,05/31/94
1,MA,NAVAL WEAPONS INDUSTRIAL RESERVE PLANT,102032,,MA6170023570,165 HARTWELL ROAD,BEDFORD,1730,MIDDLESEX,Y,N,,,42.478889,-71.290277,05/31/94
1,MA,NEW BEDFORD,100743,,MAD980731335,ACUSHNET ESTUARY,NEW BEDFORD,2740,BRISTOL,N,Y,Mashpee Wampanoag Tribe (Current); Wampanoag Tribe of Gay Head (Aquinnah) (Current),,41.643171,-70.919887,09/08/83
1,MA,"NUCLEAR METALS, INC.",100550,,MAD062166335,2229 MAIN STREET,CONCORD,1742,MIDDLESEX,N,N,,,42.441667,-71.421944,06/14/01
1,MA,NYANZA CHEMICAL WASTE DUMP,100948,,MAD990685422,MEGUNKO RD,ASHLAND,1721,MIDDLESEX,N,N,,,42.258611,-71.473611,09/08/83
1,MA,OLIN CHEMICAL,100438,,MAD001403104,51 EAMES ST,WILMINGTON,1887,MIDDLESEX,N,N,,,42.528056,-71.153889,04/19/06
1,MA,OTIS AIR NATIONAL GUARD BASE/CAMP EDWARDS,100960,,MA2570024487,OTIS AFB HERBERT RD,FALMOUTH,2542,BARNSTABLE,Y,Y,Mashpee Wampanoag Tribe (Current); Wampanoag Tribe of Gay Head (Aquinnah) (Current),,41.651666,-70.521388,11/21/89
1,MA,PSC RESOURCES,100747,,MAD980731483,10 WATER ST,PALMER,1069,HAMPDEN,N,N,,,42.153331,-72.330281,09/08/83
1,MA,"RE-SOLVE, INC.",100682,,MAD980520621,N HIXVILLE RD,DARTMOUTH,2747,BRISTOL,N,N,,,41.688061,-71.033889,09/08/83
1,MA,ROSE DISPOSAL PIT,100721,,MAD980524169,BALANCE ROCK RD,LANESBORO,1237,BERKSHIRE,N,N,,,42.5055,-73.2748,06/10/86
1,MA,SILRESIM CHEMICAL CORP.,100326,,MAD000192393,86 TANNER ST,LOWELL,1853,MIDDLESEX,N,N,,,42.628889,-71.313889,09/08/83
1,MA,SOUTH WEYMOUTH NAVAL AIR STATION,101826,,MA2170022022,1134 MAIN STREET,WEYMOUTH,2190,NORFOLK,Y,N,,,42.155277,-70.93347,05/31/94
1,MA,SULLIVAN'S LEDGE,100744,,MAD980731343,HATHAWAY RD,NEW BEDFORD,2740,BRISTOL,N,N,,,41.654719,-70.957219,09/21/84
1,MA,SUTTON BROOK DISPOSAL AREA,100686,,MAD980520696,OFF OF SOUTH STREET,TEWKSBURY,1876,MIDDLESEX,N,N,,,42.598222,-71.183194,06/14/01
1,MA,"W.R. GRACE & CO., INC. (ACTON PLANT)",100350,,MAD001002252,50 INDEPENDENCE RD,ACTON,1720,MIDDLESEX,N,N,,,42.45055,-71.427781,09/08/83
1,MA,WALTON & LONSBURY INC.,100432,,MAD001197755,78 NORTH AVENUE,ATTLEBORO,2703,BRISTOL,N,Y,Mashpee Wampanoag Tribe (Potential); Wampanoag Tribe of Gay Head (Aquinnah) (Potential),,41.957778,-71.296944,05/24/13
1,MA,WELLS G&H,100749,,MAD980732168,ABERJONA RIVER VALLEY,WOBURN,1801,MIDDLESEX,N,N,,,42.494719,-71.130839,09/08/83
1,ME,BRUNSWICK NAVAL AIR STATION,101073,,ME8170022018,RTE 24 AND 123,BRUNSWICK,4011,CUMBERLAND,Y,N,,,43.90634,-69.933986,07/22/87
1,ME,CALLAHAN MINING CORP,101028,,MED980524128,HARBORSIDE,BROOKSVILLE (CAPE ROSIER),4617,HANCOCK,N,N,,,44.351639,-68.810139,09/05/02
1,ME,EASTERN SURPLUS,101054,,MED981073711,ROUTE 191,MEDDYBEMPS,4657,WASHINGTON,N,Y,Passamaquoddy Tribe (Current),,45.038889,-67.358333,06/17/96
1,ME,EASTLAND WOOLEN MILL,101043,,MED980915474,MAIN STREET,CORINNA,4928,PENOBSCOT,N,Y,Penobscot Nation (Current),,44.921667,-69.261111,07/22/99
1,ME,KEDDY MILL,106078,,MEN000106078,7 DEPOT STREET,WINDHAM,4062,CUMBERLAND,N,N,,,43.734953,-70.424514,05/12/14
1,ME,LEEDS METAL,103584,,MEN000103584,OFF OF BLUE ROCK ROAD,LEEDS,4263,ANDROSCOGGIN,N,N,,,44.237083,-70.08025,09/18/12
1,ME,LORING AIR FORCE BASE,101074,,ME9570024522,42 CSG/CC,LIMESTONE,4751,AROOSTOOK,Y,Y,Mi'kmaq Nation (Current),,46.944444,-67.883888,02/21/90
1,ME,SACO MUNICIPAL LANDFILL,101010,,MED980504393,FOSS RD,SACO,4072,YORK,N,N,,,43.5302,-70.4815,02/21/90
1,ME,WEST SITE/HOWS CORNERS,101800,,MED985466168,CAMBELL/SAWYER ROAD,PLYMOUTH,4969,PENOBSCOT,N,N,,,44.740278,-69.182222,09/29/95
1,ME,WINTHROP LANDFILL,101012,,MED980504435,ANNABESSACOOK RD,WINTHROP,4364,KENNEBEC,N,N,,,44.275831,-69.988331,09/08/83
1,NH,AUBURN ROAD LANDFILL,101137,,NHD980524086,AUBURN RD,LONDONDERRY,3053,ROCKINGHAM,N,N,,,42.9302,-71.3529,09/08/83
1,NH,BEEDE WASTE OIL,102723,,NHD018958140,7 THROUGH 11 KELLEY ROAD,PLAISTOW,3865,ROCKINGHAM,N,N,,,42.855075,-71.105889,12/23/96
1,NH,CHLOR-ALKALI FACILITY (FORMER),103313,,NHN000103313,ADJACENT TO SAW MILL DAM,BERLIN,3570,COOS,N,N,,,44.479194,-71.167194,09/14/05
1,NH,COAKLEY LANDFILL,101107,,NHD064424153,480 BREAKFAST HILL RD,NORTH HAMPTON,3840,ROCKINGHAM,N,N,,,43.001111,-70.817219,06/10/86
1,NH,COLLINS & AIKMAN PLANT (FORMER),105928,,NHN000105928,Off Route 11 between Paulson Road to the NW and Meetinghouse Hill Road to the SE,FARMINGTON,3835,STRAFFORD,N,N,,,43.372,-71.05875,12/12/13
1,NH,DOVER MUNICIPAL LANDFILL,101125,,NHD980520191,TOLEND RD,DOVER,3820,STRAFFORD,N,N,,,43.2125,-70.953,09/08/83
1,NH,FLETCHER'S PAINT WORKS & STORAGE,101085,,NHD001079649,21 ELM ST.,MILFORD,3055,HILLSBOROUGH,N,N,,,42.8358,-71.6554,03/31/89
1,NH,KEARSARGE METALLURGICAL CORP.,101105,,NHD062002001,MILL ST-RTE 113,CONWAY,3818,CARROLL,N,N,,,43.9721,-71.1293,09/21/84
1,NH,KEEFE ENVIRONMENTAL SERVICES (KES),101114,,NHD092059112,EXETER RD,EPPING,3042,ROCKINGHAM,N,N,,,43.024169,-71.033331,09/08/83
1,NH,MOTTOLO PIG FARM,101123,,NHD980503361,BLUEBERRY HILL RD,RAYMOND,3077,ROCKINGHAM,N,N,,,42.989581,-71.173189,07/22/87
1,NH,NEW HAMPSHIRE PLATING CO.,101092,,NHD001091453,WRIGHT AVE.,MERRIMACK,3054,HILLSBOROUGH,N,N,,,42.855833,-71.488888,10/14/92
1,NH,OTTATI & GOSS/KINGSTON STEEL DRUM,101210,,NHD990717647,HAVERHILL RD RTE 125,KINGSTON,3848,ROCKINGHAM,N,N,,,42.897219,-71.080561,09/08/83
1,NH,PEASE AIR FORCE BASE,101213,,NH7570024847,509 CSG/CC,PORTSMOUTH/NEWINGTON,3803,ROCKINGHAM,Y,N,,,43.080169,-70.82125,02/21/90
1,NH,SAVAGE MUNICIPAL WATER SUPPLY,101145,,NHD980671002,NEAR RT 101,MILFORD,3055,HILLSBOROUGH,N,N,,,42.8418,-71.6884,09/21/84
1,NH,SOMERSWORTH SANITARY LANDFILL,101128,,NHD980520225,BLACKWATER RD,SOMERSWORTH,3878,STRAFFORD,N,N,,,43.2489,-70.8845,09/08/83
1,NH,SOUTH MUNICIPAL WATER SUPPLY WELL,101146,,NHD980671069,RT. 202,PETERBOROUGH,3458,HILLSBOROUGH,N,N,,,42.8489,-71.9468,09/21/84
1,NH,SYLVESTER,101115,,NHD099363541,GILSON RD,NASHUA,3062,HILLSBOROUGH,N,N,,,42.7197,-71.523111,09/08/83
1,NH,TIBBETTS ROAD,101208,,NHD989090469,TIBBETTS RD.,BARRINGTON,3825,STRAFFORD,N,N,,,43.18,-71.0347,06/10/86
1,NH,TINKHAM GARAGE,101106,,NHD062004569,RTE 102,LONDONDERRY,3053,ROCKINGHAM,N,N,,,42.860831,-71.351111,09/08/83
1,NH,TROY MILLS LANDFILL,101127,,NHD980520217,OFF ROCKWOOD POND ROAD,TROY,3465,CHESHIRE,N,N,,,42.802583,-72.186944,09/29/03
1,RI,CENTRAL LANDFILL,101277,,RID980520183,65 SHUN PIKE,JOHNSTON,2919,PROVIDENCE,N,N,,,41.808331,-71.534719,06/10/86
1,RI,CENTREDALE MANOR RESTORATION PROJECT,101388,,RID981203755,2072 AND 2074 SMITH STREET (ROUTE 44),NORTH PROVIDENCE,2911,PROVIDENCE,N,Y,Narragansett Indian Tribe (Current),,41.857667,-71.48725,02/04/00
1,RI,DAVIS LIQUID WASTE,101283,,RID980523070,TARKILN RD,SMITHFIELD,2828,PROVIDENCE,N,N,,,41.922219,-71.577769,09/08/83
1,RI,DAVISVILLE NAVAL CONSTRUCTION BATTALION CENTER,101430,,RI6170022036,OFF SANFORD RD.,NORTH KINGSTOWN,2818,WASHINGTON,Y,N,,,41.6095,-71.47422,11/21/89
1,RI,"LANDFILL & RESOURCE RECOVERY, INC. (L&RR)",101265,,RID093212439,OXFORD RD,NORTH SMITHFIELD,2876,PROVIDENCE,N,N,,,41.9795,-71.589,09/08/83
1,RI,NEWPORT NAVAL EDUCATION & TRAINING CENTER,101431,,RI6170085470,DEFENSE HIGHWAY (BURMA RD.),NEWPORT,2871,NEWPORT,Y,Y,Narragansett Indian Tribe (Current),,41.56445,-71.293469,11/21/89
