,State,Site Name,City,Zip,County,Latitude,Longitude,State Name,zip,population,Year
0,CT,Barkhamsted-New Hartford Landfill,Barkhamsted,06063,LITCHFIELD,41.893947,-72.989337,Connecticut,06063,3248.0,1989
1,CT,Beacon Heights Landfill,Beacon Falls,06403,NEW HAVEN,41.43195,-73.035281,Connecticut,06403,6089.0,1983
2,CT,Durham Meadows,Durham,06422,MIDDLESEX,41.48111,-72.681388,Connecticut,06422,7182.0,1989
3,CT,Gallup'S Quarry,Plainfield,06374,WINDHAM,41.665281,-71.924161,Connecticut,06374,7884.0,1989
4,CT,Kellogg-Deering Well Field,Norwalk,06856,FAIRFIELD,41.13055,-73.43195,Connecticut,,,1984
5,CT,"Laurel Park, Inc.",Naugatuck Borough,06770,NEW HAVEN,41.476939,-73.071661,Connecticut,06770,31671.0,1983
6,CT,Linemaster Switch Corp.,Woodstock,06281,WINDHAM,41.940561,-71.966939,Connecticut,06281,7417.0,1990
7,CT,New London Submarine Base,New London,06349,NEW LONDON,41.400139,-72.087081,Connecticut,,,1990
8,CT,Precision Plating Corp.,Vernon,06066,TOLLAND,41.84975,-72.447911,Connecticut,06066,30377.0,1989
9,CT,"Raymark Industries, Inc.",Stratford,06614,FAIRFIELD,41.201278,-73.117222,Connecticut,06614,35538.0,1995
10,CT,Scovill Industrial Landfill,Waterbury,06705,NEW HAVEN,41.550389,-73.010639,Connecticut,06705,26352.0,2000
11,CT,Solvents Recovery Service Of New England,Southington,06489,HARTFORD,41.6196,-72.878,Connecticut,06489,32444.0,1983
12,CT,Yaworski Waste Lagoon,Canterbury,06331,WINDHAM,41.66945,-71.964161,Connecticut,06331,5102.0,1983
13,MA,Atlas Tack Corp.,Fairhaven,02719,BRISTOL,41.635561,-70.89445,Massachusetts,02719,15878.0,1990
14,MA,Baird & Mcguire,Holbrook,02343,NORFOLK,42.149719,-71.028611,Massachusetts,02343,11267.0,1983
15,MA,Bjat Llc,Franklin,02038,NORFOLK,42.074417,-71.410806,Massachusetts,02038,33067.0,2015
